date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-13 08:00:00,6474,9111.75,59700,49297.5,12499.75
2019-01-13 09:00:00,6830,9603.75,62000,52741.25,13364.5
2019-01-13 10:00:00,7076,10154.5,64500,55027.5,14021.75
2019-01-13 11:00:00,7206,10541.25,65650,57160.75,14502.25
2019-01-13 12:00:00,7067,10725.25,67350,57035.5,14841.25
2019-01-13 13:00:00,6857,10406.25,67000,55582.25,15074.75
2019-01-13 14:00:00,6731,10089.25,63300,54354.75,15182.75
2019-01-13 15:00:00,6762,10060,60500,54438,15367.5
2019-01-13 16:00:00,7091,10246,59350,55662,15572
2019-01-13 17:00:00,7461,10919.25,60350,59037,16194.75
2019-01-13 18:00:00,7481,11203.5,65800,60003,15578.75
2019-01-13 19:00:00,7198,10937.25,68700,58651,15041.5
2019-01-13 20:00:00,6889,10620.25,67000,56261.25,14641.25
2019-01-13 21:00:00,6513,10163.75,64100,54703.5,14193.75
2019-01-13 22:00:00,6598,10064,62550,54352,13506.75
2019-01-13 23:00:00,6239,9994.75,65450,51058.75,12650
2019-01-14 00:00:00,6717,9112.5,61500,48478.75,12129
2019-01-14 01:00:00,6474,8835.25,58500,47051.25,11669
2019-01-14 02:00:00,6370,8553.5,58050,46673.5,11313.25
2019-01-14 03:00:00,6263,8429,55050,46989.75,11249.75
2019-01-14 04:00:00,6431,8561.5,53600,48736,11280
2019-01-14 05:00:00,7105,9099.75,56100,51968,11822.75
2019-01-14 06:00:00,8219,10370,62050,59487.5,13065.25
2019-01-14 07:00:00,9182,11529.75,69550,64727.5,14837.5
2019-01-14 08:00:00,9479,12127.5,73650,67311.75,16484.25
2019-01-14 09:00:00,9534,12149.5,73650,68137.25,17187.75
2019-01-14 10:00:00,9577,12133.25,74000,68704.75,17345.25
2019-01-14 11:00:00,9578,12250,74250,70100,17247
2019-01-14 12:00:00,9409,12003.75,74500,69710,16902.75
2019-01-14 13:00:00,9351,11996.25,74000,69630.25,16675
2019-01-14 14:00:00,9284,11844.25,72300,68805.75,16611.5
2019-01-14 15:00:00,9301,11795.5,70050,68436,16556.5
2019-01-14 16:00:00,9504,11880.5,69350,67381.25,16695.75
2019-01-14 17:00:00,9718,12533.75,70950,67929.5,16954.25
2019-01-14 18:00:00,9538,12578.75,75800,68226.75,15750
2019-01-14 19:00:00,9039,11989.25,77300,66943.25,14920.25
2019-01-14 20:00:00,8473,11491.5,73550,64432.25,14220
2019-01-14 21:00:00,7887,10881.25,69350,62485.5,13274.75
2019-01-14 22:00:00,7696,10920.5,67450,59171,12364.5
2019-01-14 23:00:00,7198,10850.5,69900,55218.25,11724.5
2019-01-15 00:00:00,6717,10201,67100,54057.25,11137
2019-01-15 01:00:00,6474,9685.75,64000,52364.25,10668
2019-01-15 02:00:00,6370,9339.25,63500,51553.5,10195
2019-01-15 03:00:00,6263,9129.25,60700,51818.5,9969
2019-01-15 04:00:00,6431,9162.75,59400,53052,9801.5
2019-01-15 05:00:00,7105,9651.25,61300,55715.25,9946
2019-01-15 06:00:00,8219,10878.5,66700,62645,10545.25
2019-01-15 07:00:00,9182,11880.5,74300,67793.75,11666.5
2019-01-15 08:00:00,9479,12218.75,78050,70016.5,12767.5
2019-01-15 09:00:00,9534,12115.25,77350,70444.5,13307.25
2019-01-15 10:00:00,9577,12131.5,76800,70830.25,13524.5
2019-01-15 11:00:00,9578,12110.75,76200,71608,13575.75
2019-01-15 12:00:00,9409,11792,75550,71264,13616.5
2019-01-15 13:00:00,9351,11782.25,74700,71121.75,13567.5
2019-01-15 14:00:00,9284,11702.25,72650,70401.5,13647.25
2019-01-15 15:00:00,9301,11706,70200,70246.25,13802.75
2019-01-15 16:00:00,9504,11846,69200,70637.25,13982.5
2019-01-15 17:00:00,9718,12579.5,71050,72535.75,14654.75
2019-01-15 18:00:00,9538,12689,76500,72644,14170.25
2019-01-15 19:00:00,9039,12180.5,78800,70631.75,13678
