"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"03.01.2023 17:15 - 03.01.2023 17:30","0","0","","5600","5379","","11326","9848",""
"03.01.2023 17:30 - 03.01.2023 17:45","0","0","","5526","5450","","11867","10353",""
"03.01.2023 17:45 - 03.01.2023 18:00","0","0","","5532","5529","","12403","10869",""
"03.01.2023 18:00 - 03.01.2023 18:15","0","0","","5545","5450","","12958","11396",""
"03.01.2023 18:15 - 03.01.2023 18:30","0","0","","5562","5467","","13512","11927",""
"03.01.2023 18:30 - 03.01.2023 18:45","0","0","","5582","5481","","14098","12483",""
"03.01.2023 18:45 - 03.01.2023 19:00","0","0","","5584","5485","","14744","13099",""
"03.01.2023 19:00 - 03.01.2023 19:15","0","0","","5584","5486","","15459","13793",""
"03.01.2023 19:15 - 03.01.2023 19:30","0","0","","5574","5486","","16106","14422",""
"03.01.2023 19:30 - 03.01.2023 19:45","0","0","","5523","5454","","16716","14989",""
"03.01.2023 19:45 - 03.01.2023 20:00","0","0","","5539","5441","","17319","15516",""
"03.01.2023 20:00 - 03.01.2023 20:15","0","0","","5532","5424","","17917","16001",""
"03.01.2023 20:15 - 03.01.2023 20:30","0","0","","5514","5419","","18468","16517",""
"03.01.2023 20:30 - 03.01.2023 20:45","0","0","","5490","5408","","19020","17061",""
"03.01.2023 20:45 - 03.01.2023 21:00","0","0","","5473","5394","","19580","17636",""
