,1
1852,15.0
1853,20.0
1854,15.0
1855,10.0
1856,5.0
1857,0.0
1858,5.0
1859,10.0
1860,15.0
1861,20.0
1862,25.0
1863,30.0
1864,35.0
1865,40.0
1866,35.0
1867,30.0
1868,25.0
1869,20.0
1870,15.0
1871,10.0
1872,5.0
1873,0.0
1874,5.0
1875,10.0
1876,15.0
1877,20.0
1878,15.0
1879,10.0
1880,5.0
1881,0.0
1882,5.0
1883,10.0
1884,15.0
1885,20.0
1886,25.0
1887,30.0
1888,35.0
1889,40.0
1890,35.0
1891,30.0
1892,25.0
1893,20.0
1894,15.0
1895,10.0
1896,5.0
1897,0.0
1898,5.0
1899,10.0
1900,15.0
1901,20.0
1902,15.0
1903,10.0
1904,5.0
1905,0.0
1906,5.0
1907,10.0
1908,15.0
1909,20.0
1910,25.0
1911,30.0
1912,35.0
1913,40.0
1914,35.0
1915,30.0
1916,25.0
1917,20.0
1918,15.0
1919,10.0
1920,5.0
1921,0.0
1922,5.0
1923,10.0
1924,15.0
1925,20.0
1926,15.0
1927,10.0
1928,5.0
1929,0.0
1930,5.0
1931,10.0
1932,15.0
1933,20.0
1934,25.0
1935,30.0
1936,35.0
1937,40.0
1938,35.0
1939,30.0
1940,25.0
1941,20.0
1942,15.0
1943,10.0
1944,5.0
1945,0.0
1946,5.0
1947,10.0
1948,15.0
1949,20.0
1950,15.0
1951,10.0
1952,5.0
1953,0.0
1954,5.0
1955,10.0
1956,15.0
1957,20.0
1958,25.0
1959,30.0
1960,35.0
1961,40.0
1962,35.0
1963,30.0
1964,25.0
1965,20.0
1966,15.0
1967,10.0
1968,5.0
1969,0.0
1970,5.0
1971,10.0
1972,15.0
1973,20.0
1974,15.0
1975,10.0
1976,5.0
1977,0.0
1978,5.0
1979,10.0
1980,15.0
1981,20.0
1982,25.0
1983,30.0
1984,35.0
1985,40.0
1986,35.0
1987,30.0
1988,25.0
1989,20.0
1990,15.0
1991,10.0
1992,5.0
1993,0.0
1994,5.0
1995,10.0
1996,15.0
1997,20.0
1998,15.0
1999,10.0
2000,5.0
2001,0.0
2002,5.0
2003,10.0
2004,15.0
2005,20.0
2006,25.0
2007,30.0
2008,35.0
2009,40.0
2010,35.0
2011,30.0
2012,25.0
2013,20.0
2014,15.0
2015,10.0
2016,5.0
2017,0.0
2018,5.0
2019,10.0
2020,15.0
2021,20.0
2022,15.0
2023,10.0
2024,5.0
2025,0.0
2026,5.0
2027,10.0
2028,15.0
2029,20.0
2030,25.0
2031,30.0
2032,35.0
2033,40.0
2034,35.0
2035,30.0
2036,25.0
2037,20.0
2038,15.0
2039,10.0
2040,5.0
2041,0.0
2042,5.0
2043,10.0
2044,15.0
2045,20.0
2046,15.0
2047,10.0
2048,5.0
2049,0.0
2050,5.0
2051,10.0
2052,15.0
2053,20.0
2054,25.0
2055,30.0
2056,35.0
2057,40.0
2058,35.0
2059,30.0
2060,25.0
2061,20.0
2062,15.0
2063,10.0
2064,5.0
2065,0.0
2066,5.0
2067,10.0
2068,15.0
2069,20.0
2070,15.0
2071,10.0
2072,5.0
2073,0.0
2074,5.0
2075,10.0
2076,15.0
2077,20.0
2078,25.0
2079,30.0
2080,35.0
2081,40.0
2082,35.0
2083,30.0
2084,25.0
2085,20.0
2086,15.0
2087,10.0
2088,5.0
2089,0.0
2090,5.0
2091,10.0
2092,15.0
2093,20.0
2094,15.0
2095,10.0
2096,5.0
2097,0.0
2098,5.0
2099,10.0
2100,15.0
2101,20.0
2102,25.0
2103,30.0
2104,35.0
2105,40.0
2106,35.0
2107,30.0
2108,25.0
2109,20.0
2110,15.0
2111,10.0
2112,5.0
2113,0.0
2114,5.0
2115,10.0
2116,15.0
2117,20.0
2118,15.0
2119,10.0
2120,5.0
2121,0.0
2122,5.0
2123,10.0
2124,15.0
2125,20.0
2126,25.0
2127,30.0
2128,35.0
2129,40.0
2130,35.0
2131,30.0
2132,25.0
2133,20.0
2134,15.0
2135,10.0
2136,5.0
2137,0.0
2138,5.0
2139,10.0
